"cinema_id","name","address","city","phone","screens","features","hours","image_url"
22,CGV Vincom Huế,"Lê Duẩn, Huế",Huế,(0234) 3888 555,5,{Premium},"9:00 - 23:00",https://images.unsplash.com/photo-1667858329757-95becd82346e
23,CGV Big C Huế,"Trung Tâm, Huế",Huế,(0234) 3777 444,4,"{""Tiêu Chuẩn""}","8:30 - 22:30",https://images.unsplash.com/photo-1688678004647-945d5aaf91c1
24,CGV Vũng Tàu,"Trần Hưng Đạo, Vũng Tàu",Vũng Tàu,(0254) 3888 333,5,{Premium},"9:00 - 23:00",https://images.unsplash.com/photo-1548867688/231911e4ba3c
25,CGV Imperial Plaza,"Trung Tâm, Vũng Tàu",Vũng Tàu,(0254) 3777 222,6,"{Premium,""Dolby Atmos""}","8:30 - 23:00",https://images.unsplash.com/photo-1504050376847-144186a87c66
26,CGV Thủ Đức,"Võ Văn Ngân, Thủ Đức",Thủ Đức,(028) 3888 111,6,{Premium},"9:00 - 23:00",https://images.unsplash.com/photo-1515100235140-6cb3498e8031
27,CGV Vincom Thủ Đức,"Quốc Lộ 13, Thủ Đức",Thủ Đức,(028) 3777 000,7,"{4DX,Premium}","8:30 - 23:00",https://images.unsplash.com/photo-1485700330317-57a99a571ecb
28,CGV Quy Nhơn,"Lê Hồng Phong, Quy Nhơn",Quy Nhơn,(0256) 3888 999,5,{Premium},"9:00 - 23:00",https://images.unsplash.com/photo-1667858329757-95becd82346e
29,CGV Buôn Ma Thuột,"Trung Tâm, Buôn Ma Thuột",Buôn Ma Thuột,(0262) 3888 888,4,{Premium},"9:00 - 22:30",https://images.unsplash.com/photo-1688678004647-945d5aaf91c1
30,CGV Vinh,"Quang Trung, Vinh",Vinh,(0238) 3888 777,5,{Premium},"9:00 - 23:00",https://images.unsplash.com/photo-1548867688/231911e4ba3c
31,CGV Vincom Vinh,"Lê Lợi, Vinh",Vinh,(0238) 3777 666,6,"{Premium,""Dolby Atmos""}","8:30 - 23:00",https://images.unsplash.com/photo-1504050376847-144186a87c66
32,CGV Bắc Ninh,"Trung Tâm, Bắc Ninh",Bắc Ninh,(0222) 3888 555,5,{Premium},"9:00 - 23:00",https://images.unsplash.com/photo-1515100235140-6cb3498e8031
33,CGV Hạ Long,"Bãi Cháy, Hạ Long",Hạ Long,(0203) 3888 444,6,"{Premium,""Dolby Atmos""}","9:00 - 23:00",https://images.unsplash.com/photo-1485700330317-57a99a571ecb
34,CGV Vincom Hạ Long,"Trung Tâm, Hạ Long",Hạ Long,(0203) 3777 333,5,{Premium},"8:30 - 22:30",https://images.unsplash.com/photo-1667858329757-95becd82346e
35,CGV Thái Nguyên,"Quang Trung, Thái Nguyên",Thái Nguyên,(0208) 3888 222,4,{Premium},"9:00 - 22:30",https://images.unsplash.com/photo-1688678004647-945d5aaf91c1
36,CGV Mỹ Tho,"Trung Tâm, Mỹ Tho",Mỹ Tho,(0273) 3888 111,4,"{""Tiêu Chuẩn""}","9:00 - 22:30",https://images.unsplash.com/photo-1548867688/231911e4ba3c
37,CGV Rạch Giá,"Trung Tâm, Rạch Giá",Rạch Giá,(0297) 3888 000,4,{Premium},"9:00 - 22:30",https://images.unsplash.com/photo-1504050376847-144186a87c66
38,CGV Cà Mau,"Trung Tâm, Cà Mau",Cà Mau,(0290) 3888 999,3,"{""Tiêu Chuẩn""}","9:00 - 22:00",https://images.unsplash.com/photo-1515100235140-6cb3498e8031
39,CGV Đồng Hới,"Trung Tâm, Đồng Hới",Đồng Hới,(0232) 3888 888,4,{Premium},"9:00 - 22:30",https://images.unsplash.com/photo-1485700330317-57a99a571ecb
40,CGV Pleiku,"Trung Tâm, Pleiku",Pleiku,(0269) 3888 777,4,{Premium},"9:00 - 22:30",https://images.unsplash.com/photo-1667858329757-95becd82346e
41,CGV Phan Thiết,"Trần Hưng Đạo, Phan Thiết",Phan Thiết,(0252) 3888 666,5,{Premium},"9:00 - 23:00",https://images.unsplash.com/photo-1688678004647-945d5aaf91c1
42,CGV Long Xuyên,"Trung Tâm, Long Xuyên",Long Xuyên,(0296) 3888 555,4,"{""Tiêu Chuẩn""}","9:00 - 22:30",https://images.unsplash.com/photo-1548867688/231911e4ba3c
43,CGV Tuy Hòa,"Trung Tâm, Tuy Hòa",Tuy Hòa,(0257) 3888 444,3,"{""Tiêu Chuẩn""}","9:00 - 22:00",https://images.unsplash.com/photo-1504050376847-144186a87c66
44,CGV Tam Kỳ,"Trung Tâm, Tam Kỳ",Tam Kỳ,(0235) 3888 333,3,"{""Tiêu Chuẩn""}","9:00 - 22:00",https://images.unsplash.com/photo-1515100235140-6cb3498e8031
45,CGV Bến Tre,"Trung Tâm, Bến Tre",Bến Tre,(0275) 3888 222,3,"{""Tiêu Chuẩn""}","9:00 - 22:00",https://images.unsplash.com/photo-1485700330317-57a99a571ecb
46,CGV Vĩnh Long,"Trung Tâm, Vĩnh Long",Vĩnh Long,(0270) 3888 111,3,"{""Tiêu Chuẩn""}","9:00 - 22:00",https://images.unsplash.com/photo-1667858329757-95becd82346e
47,CGV Sóc Trăng,"Trung Tâm, Sóc Trăng",Sóc Trăng,(0299) 3888 000,3,"{""Tiêu Chuẩn""}","9:00 - 22:00",https://images.unsplash.com/photo-1688678004647-945d5aaf91c1
48,CGV Kontum,"Trung Tâm, Kontum",Kontum,(0260) 3888 999,2,"{""Tiêu Chuẩn""}","9:00 - 22:00",https://images.unsplash.com/photo-1548867688/231911e4ba3c
49,CGV Cao Lãnh,"Trung Tâm, Cao Lãnh",Cao Lãnh,(0277) 3888 888,3,"{""Tiêu Chuẩn""}","9:00 - 22:00",https://images.unsplash.com/photo-1504050376847-144186a87c66
50,CGV Trà Vinh,"Trung Tâm, Trà Vinh",Trà Vinh,(0294) 3888 777,3,"{""Tiêu Chuẩn""}","9:00 - 22:00",https://images.unsplash.com/photo-1515100235140-6cb3498e8031
